product,product_link,image_link,brand,likes,gender,main_category,sub_category
어반 플란넬 체크셔츠 더스티 화이트,https://www.musinsa.com/products/4277635,https://image.msscdn.net/thumbnails/images/goods_img/20240726/4277635/4277635_17255017807499_big.jpg?w=780,베이스모먼트,473,남성,상의,셔츠/블라우스
유니섹스 타탄 체크 패턴 박시 오버핏 코튼 셔츠 시리즈 [그린],https://www.musinsa.com/products/4320397,https://image.msscdn.net/thumbnails/images/goods_img/20240812/4320397/4320397_17234407011837_big.jpg?w=780,썸플레이스,7.0천,공용,상의,셔츠/블라우스
워시드 로우 컷 체크 셔츠 NAVY,https://www.musinsa.com/products/4767066,https://image.msscdn.net/thumbnails/images/goods_img/20250207/4767066/4767066_17391988149085_big.jpg?w=780,도프제이슨,518,남성,상의,셔츠/블라우스
옥스포드 오버핏 반팔셔츠 애플그린,https://www.musinsa.com/products/3144162,https://image.msscdn.net/thumbnails/images/goods_img/20230313/3144162/3144162_16787791033619_big.jpg?w=780,리,529,공용,상의,셔츠/블라우스
Twisted Sky Stripe Seersucker Shirt S169,https://www.musinsa.com/products/4823796,https://image.msscdn.net/thumbnails/images/goods_img/20250224/4823796/4823796_17403783085263_big.jpg?w=780,다이아몬드 레이라,1.1천,공용,상의,셔츠/블라우스
링클 시어서커 체크 셔츠 [차콜],https://www.musinsa.com/products/4747208,https://image.msscdn.net/thumbnails/images/goods_img/20250130/4747208/4747208_17394276385792_big.jpg?w=780,르아르,451,남성,상의,셔츠/블라우스
코튼 텐셀 옥스포드 셔츠 네이비,https://www.musinsa.com/products/4874770,https://image.msscdn.net/thumbnails/images/goods_img/20250310/4874770/4874770_17421780985665_big.jpg?w=780,언더오프,243,공용,상의,셔츠/블라우스
카펜터 포켓 코튼 립스탑 워크 셔츠 (CHARCOAL),https://www.musinsa.com/products/4328563,https://image.msscdn.net/thumbnails/images/goods_img/20240814/4328563/4328563_17253450403594_big.jpg?w=780,트릴리온,581,공용,상의,셔츠/블라우스
포시즌 옴브레 체크셔츠_아이보리,https://www.musinsa.com/products/3578365,https://image.msscdn.net/thumbnails/images/goods_img/20230920/3578365/3578365_17187908367307_big.jpg?w=780,인더스트,3.6천,공용,상의,셔츠/블라우스
[무료반품] 컨트리 롤업 데님 반팔 셔츠 (2컬러),https://www.musinsa.com/products/4203860,https://image.msscdn.net/thumbnails/images/goods_img/20240618/4203860/4203860_17186937991398_big.jpg?w=780,무센트,6.3천,공용,상의,셔츠/블라우스
[여름][논페이드] 투 포켓 데님 워크 셔츠 반팔 - 딥블루,https://www.musinsa.com/products/3452509,https://image.msscdn.net/thumbnails/images/goods_img/20230808/3452509/3452509_16914935186796_big.jpg?w=780,라퍼,2.1천,공용,상의,셔츠/블라우스
CROP WRINKLE S/S SHIRTS (IVORY STRIPE),https://www.musinsa.com/products/5042006,https://image.msscdn.net/thumbnails/images/goods_img/20250418/5042006/5042006_17449411440907_big.jpg?w=780,에스파이,299,남성,상의,셔츠/블라우스
ASI 에센셜 플래드 체크 셔츠_오션 그린,https://www.musinsa.com/products/4308182,https://image.msscdn.net/thumbnails/images/goods_img/20240808/4308182/4308182_17240481529056_big.jpg?w=780,디미트리블랙,7.0천,공용,상의,셔츠/블라우스
피그먼트 코튼 롤업 셔츠 다크 그레이,https://www.musinsa.com/products/4739098,https://image.msscdn.net/thumbnails/images/goods_img/20250123/4739098/4739098_17431436828776_big.jpg?w=780,코프위,525,남성,상의,셔츠/블라우스
오픈카라 반팔 셔츠 블랙,https://www.musinsa.com/products/2030141,https://image.msscdn.net/thumbnails/images/goods_img/20210715/2030141/2030141_17198168476564_big.jpg?w=780,유니어패럴,1.9천,남성,상의,셔츠/블라우스
